category_name,name,rating,votes,address
Hospitals,Dhanya Medical Centre,4.0,136,"19, Pillaiyar Koil Street, Velappadi, Vellore - 632001"
Hospitals,Nalam Medical Centre and Ho..,4.1,307,", A, Arcot Road, Sathuvacheri, Vellore - 632009, Near Collectorate"
Hospitals,Mumme Hospital,4.2,307," Mumme Hospital,No 15/2, Masilamani Hostel Road, Vellore Ho, Vellore - 632001"
Hospitals,Sri Ragavendra Health Care,4.5,147,"218, Phase 1 South Service Road, Sathuvacheri, Vellore - 632009, Near More Super Market"
Hospitals,Mumme Hospital,4.2,147," No 15/2 New No 28, Masilamani Hostel Road, Krishna Nagar, Vellore - 632001"
Hospitals,Indira Super Speciality Hos..,4.1,306,"320 / 3A1, Chittoor Main Road,, Gandhi Nagar West, Vellore - 632006"
Hospitals,Manisundaram Medical Missio..,3.9,306,"288 Phase1, South Avenue Road, Vallalar, Sathuvacheri, Vellore - 632009, Near More Super Market"
Hospitals,Sri Narayani Hospital and R..,3.8,147,"ayani Hospital and Research Centre, Ariyur Vellore, Vellore - 632055, Near Golden Temple, Sripuram Thirumalakodi"
Hospitals,Mumme Hospital,4.2,147," No 15/2 New No 28, Masilamani Hostel Road, Krishna Nagar, Vellore - 632001"
Hospitals,Mumme Hospital,4.2,565," Mumme Hospital,No 15/2, Masilamani Hostel Road, Vellore Ho, Vellore - 632001"
Hospitals,Dhanya Medical Centre,4.0,565,"19, Pillaiyar Koil Street, Velappadi, Vellore - 632001"
Hospitals,Nithya Sugam Ayurvedic Hosp..,4.5,31,"hya Sugam Vaithiya Salai, No. 7 Nethaji Garden, Ammoor Koot Road, Ammoor,, Ammoor, Vellore - 632501, Ammoor Koot Road CSI Church Nearby"
Hospitals,Indira Nursing Home,4.1,31,"452, Main Bazzar Road Saidapet, Vellore - 632001, Near CMC Hospital"
Hospitals,Vellore Speciality Centre,4.1,31," 1315, South Avenue Road, Sathuvacheri, Vellore - 632009, Near By Vellore District Court Behine Avin Milk Dairy"
Hospitals,Nalam Medical Centre and Ho..,4.1,31,", A, Arcot Road, Sathuvacheri, Vellore - 632009, Near Collectorate"
