category_name,name,rating,votes,address
Banquet_Halls,Avm Mahal,3.4,112,"/1 Palanisami St, Tirupattur, Vellore - 635601, Opp Daily Mart"
Banquet_Halls,V.s.b.vijay Mahal,3.7,112,"inchipuram Road, Virinjipuram, Vellore - 632104"
Banquet_Halls,KSM Mahal,4.1,111,"alakshmi Nagar Kamaraj Nagar Thorapadi Vellore, Ariyur Vellore, Vellore - 632055"
Banquet_Halls,Ckc Marriage Hall,3.9,111," Nagar, Tirupattur, Vellore - 635601, Tirupattur"
Banquet_Halls,Uma Elumalaiyan Kalyana Man..,3.8,98,"liyappa Nagar, Madras Bombay Trunk Road, Walajapet, Vellore - 632513"
Banquet_Halls,JP Kalyana Mandapam,3.9,98,"ian Oil Petrol, Vellore - 632515, Opposite National Highway 4"
Banquet_Halls,AGS Kalyana Mandapam,3.9,97,"48, Swamy Chetti Street, Tirupattur, Vellore - 635601, Near AGS Mall"
Banquet_Halls,Agr Marriage Mahal,3.3,97,"hya Naga, Vellore, Sh4, Arcot, Arcot, Vilupuram Arcot Road, Vellore - 632521"
Banquet_Halls,VDS Mahal,4.1,97,"te Highway 4, Vilupuram Arcot Road, Timiri, Vellore - 632512"
Banquet_Halls,Sri Krishnaveni Mahal,3.6,97,"lajapet, Thenkadappanthangal, Vellore, Nh4, Arcot, Arcot, Madras Bombay Trunk Road, Thenkadapanthangal, Vellore - 632513"
Banquet_Halls,Aranya Mahal,3.7,94,"311, Bangalore Chennai Highway, Perumugai, Vellore - 632009, Opposite Ford Car Show Room"
Banquet_Halls,S S Mahal,3.5,94,"303, Arni Road, (Nh 234), Vellore, Kaniyambadi, Vellore - 632102"
Banquet_Halls,Solai Function Hall,4.0,92,"216, Tnhb Phase-1, Sathuvachari, Sathuvacheri, Vellore - 632009"
Banquet_Halls,India Medical Association H..,3.8,92," Katpadi, Gandhinagar West, 4th West Cross Road, Gandhi Nagar East, Vellore - 632006, Gandhi Nagar"
Banquet_Halls,J. S Mahal,3.6,82," Rafi Nager, Vannivedu, Vellore - 632513, Ooratchi Nagara Building"
Banquet_Halls,Ramamoorthy Mahal,3.7,82,"28, Shankar Nagar, Sholinghur, Sholingur, Vellore - 631102"
Banquet_Halls,Grace Flowers,4.0,80,"4 SLN Plazza 1st East Main Road, Odai Pillaiyar Kovil, KATPADI VELLORE, Vellore - 632002, Gandhi Nagar"
Banquet_Halls,Sri Dhanalakshi T Velu Kaly..,3.7,80,"54/A, Arni Road, Bagayam, Vellore - 632002, Virupatchipuram"
Banquet_Halls,Bhuvaneswari Mahal,3.7,78,"13/11, SOUTH AVUNE ROAD, Sathuvacheri, Vellore - 632009, Near Court Phase 2, Near Gh"
Banquet_Halls,KPS Thirumana Mandapam,3.9,78,"34 E, Ammoor Road, Ranipet Vellore, Vellore - 632509, Near Muthukadai Junction"
Banquet_Halls,Sri Narayana Mahal Ac,4.3,77," NARAYANA MAHAL AC, Katpadi Road Chennarayanapalli, Gudiyattam Railway Station, Vellore - 635803, FRONT OF ARYA VIDHYSHRAM SCHOOL"
Banquet_Halls,Thangaraj Palace,4.3,77," SALAI, Walajapet, Vellore - 632513, Nera AAA COLLEGE"
Banquet_Halls,Thangaraj Palace,4.3,75," Road, Walajapet, Vellore - 632513, Near Bt AAA A Colloge"
Banquet_Halls,Zaibun Marriage Hal,3.4,75,"t Area, Tirupattur - 635601"
Banquet_Halls,Goplaya kalyana mandapam,3.6,70,"dhi Nagar, Gudiyattam, Gandhi Nagar West, Vellore - 632006"
Banquet_Halls,K K C Marriage Hall,3.8,70," Gandhi Road, Kudiyanakuppam, Vellore - 635851"
Banquet_Halls,Sakthi Mahalakshmi Mahal,3.7,68,"llinghur, Vellore Sh61, Arcot, Walajah Sholinghur Arakonam Road, Sholingur, Vellore - 631102"
Banquet_Halls,Vijaya Saravana Mahal,4.0,68,"2, Tvk Salai, Thiruppattur Vellore, Vellore - 635601"
Banquet_Halls,Yelagiri Hall,4.0,68,"10, Krishna Nagar, Vellore - 632001, Next to Darling Residency, Officers Line"
Banquet_Halls,Naveen mahal kalyana mandap..,3.9,68,"lore Road, Odugathur, Vellore - 632103, Odugathur"
Banquet_Halls,Sri Lakshmi Ponnusamy Marri..,3.9,66,"65/2b, Katpadi Road, Raja Koil, Gudiyattam Railway Station, Vellore - 635803, Near Rajagopal Polytechnic College"
Banquet_Halls,Saravana Mahal,3.8,66," 358/c, Arcot Main Road, Rangapuram, Vellore - 632009, Opposite to Grand Krishna Hotel"
Banquet_Halls,Meenakshi Kalyana Mandapam,3.9,65,"46, Phase 2, Sathuvachari, Sathuvacheri, Vellore - 632009"
Banquet_Halls,Shree Ranjini Function Hall,4.5,65,"arajar Nagar,Sripuram, Main Road, Thorapadi, Vellore - 632002"
Banquet_Halls,Sri Vari Mahal,3.9,58,"/A Sri Vari Complex Ocheri Vellore Dst, Chennai - Bengaluru Hwy, Ocheri, Vellore - 632531"
Banquet_Halls,Saradambal Srinivasamudally..,3.9,58," 85, Officers Line, Krishna Nagar, Vellore - 632001"
